word,type,first_word_of_sentence_id
match,2,381
badly,2,381
affected,2,381
by,2,381
the,2,381
weather,2,381
",",2,381
kent,1,381
stepped,2,381
up,2,381
a,2,381
gear,2,381
to,2,381
dismiss,2,381
nottinghamshire,1,381
for,2,381
214,2,381
.,2,381
they,2,409
were,2,409
held,2,409
up,2,409
by,2,409
a,2,409
gritty,2,409
84,2,409
from,2,409
paul,4,409
johnson,5,409
but,2,409
ex-england,3,409
fast,2,409
bowler,2,409
martin,4,409
mccague,5,409
took,2,409
four,2,409
for,2,409
55,2,409
.,2,409
by,2,431
stumps,2,431
kent,1,431
had,2,431
reached,2,431
108,2,431
for,2,431
three,2,431
.,2,431
-docstart-,2,440
cricket,2,440
-,2,440
english,11,440
county,12,440
championship,13,440
scores,2,440
.,2,440
london,6,448
1996-08-30,2,448
result,2,448
and,2,448
close,2,448
of,2,448
play,2,448
scores,2,448
in,2,448
english,3,448
county,2,448
championship,2,448
matches,2,448
on,2,448
friday,2,448
:,2,448
leicester,6,448
:,2,448
leicestershire,1,448
beat,2,448
somerset,1,448
by,2,448
an,2,448
innings,2,448
and,2,448
39,2,448
runs,2,448
.,2,448
somerset,1,476
83,2,476
and,2,476
174,2,476
(,2,476
p.,4,476
simmons,5,476
4-38,2,476
),2,476
",",2,476
leicestershire,1,476
296,2,476
.,2,476
leicestershire,1,489
22,2,489
points,2,489
",",2,489
somerset,1,489
4,2,489
.,2,489
chester-le-street,6,496
:,2,496
glamorgan,1,496
259,2,496
and,2,496
207,2,496
(,2,496
a.,4,496
dale,5,496
69,2,496
",",2,496
h.,4,496
morris,5,496
69,2,496
;,2,496
d.,4,496
blenkiron,5,496
4-43,2,496
),2,496
",",2,496
durham,1,496
114,2,496
(,2,496
s.,4,496
watkin,5,496
4-28,2,496
),2,496
and,2,496
81-3,2,496
.,2,496
tunbridge,15,526
wells,16,526
:,2,526
nottinghamshire,1,526
214,2,526
(,2,526
p.,4,526
johnson,5,526
84,2,526
;,2,526
m.,4,526
mccague,5,526
4-55,2,526
),2,526
",",2,526
kent,1,526
108-3,2,526
.,2,526
london,6,544
(,2,544
the,15,544
oval,16,544
),2,544
:,2,544
warwickshire,1,544
195,2,544
",",2,544
surrey,1,544
429-7,2,544
(,2,544
c.,4,544
lewis,5,544
80,2,544
not,2,544
out,2,544
",",2,544
m.,4,544
butcher,5,544
70,2,544
",",2,544
g.,4,544
kersey,5,544
63,2,544
",",2,544
j.,4,544
ratcliffe,5,544
63,2,544
",",2,544
d.,4,544
bicknell,5,544
55,2,544
),2,544
.,2,544
hove,6,579
:,2,579
sussex,1,579
363,2,579
(,2,579
w.,4,579
athey,5,579
111,2,579
",",2,579
v.,4,579
drakes,5,579
52,2,579
;,2,579
i.,4,579
austin,5,579
4-37,2,579
),2,579
",",2,579
lancashire,1,579
197-8,2,579
(,2,579
w.,4,579
hegg,5,579
54,2,579
),2,579
portsmouth,6,579
:,2,579
middlesex,1,579
199,2,579
and,2,579
426,2,579
(,2,579
j.,4,579
pooley,5,579
111,2,579
",",2,579
m.,4,579
ramprakash,5,579
108,2,579
",",2,579
m.,4,579
gatting,5,579
83,2,579
),2,579
",",2,579
hampshire,1,579
232,2,579
and,2,579
109-5,2,579
.,2,579
chesterfield,6,629
:,2,629
worcestershire,1,629
238,2,629
and,2,629
133-5,2,629
",",2,629
derbyshire,1,629
471,2,629
(,2,629
j.,4,629
adams,5,629
123,2,629
",",2,629
t.o'gorman,10,629
109,2,629
not,2,629
out,2,629
",",2,629
k.,4,629
barnett,5,629
87,2,629
;,2,629
t.,4,629
moody,5,629
6-82,2,629
),2,629
bristol,6,629
:,2,629
gloucestershire,1,629
183,2,629
and,2,629
185-6,2,629
(,2,629
j.,4,629
russell,5,629
56,2,629
not,2,629
out,2,629
),2,629
",",2,629
northamptonshire,1,629
190,2,629
(,2,629
k.,4,629
curran,5,629
52,2,629
;,2,629
a.,4,629
smith,5,629
5-68,2,629
),2,629
.,2,629
-docstart-,2,682
cricket,2,682
-,2,682
1997,2,682
ashes,3,682
intinerary,2,682
.,2,682
london,6,689
1996-08-30,2,689
australia,6,689
will,2,689
defend,2,689
the,2,689
ashes,3,689
in,2,689
a,2,689
six-test,2,689
series,2,689
against,2,689
england,6,689
during,2,689
a,2,689
four-month,2,689
tour,2,689
starting,2,689
on,2,689
may,2,689
13,2,689
next,2,689
year,2,689
",",2,689
the,2,689
test,7,689
and,14,689
county,14,689
cricket,14,689
board,8,689
said,2,689
on,2,689
friday,2,689
.,2,689
australia,6,723
will,2,723
also,2,723
play,2,723
three,2,723
one-day,2,723
internationals,2,723
and,2,723
four,2,723
one-day,2,723
warm-up,2,723
matches,2,723
at,2,723
the,2,723
start,2,723
of,2,723
the,2,723
tour,2,723
.,2,723
the,2,742
tourists,2,742
will,2,742
play,2,742
nine,2,742
first-class,2,742
matches,2,742
against,2,742
english,3,742
county,2,742
sides,2,742
and,2,742
another,2,742
against,2,742
british,7,742
universities,8,742
",",2,742
as,2,742
well,2,742
as,2,742
one-day,2,742
matches,2,742
against,2,742
the,2,742
minor,7,742
counties,8,742
and,2,742
scotland,6,742
.,2,742
tour,2,771
itinerary,2,771
:,2,771
may,2,771
may,2,771
13,2,771
arrive,2,771
in,2,771
london,6,771
may,2,771
14,2,771
practice,2,771
at,2,771
lord,15,771
's,16,771
may,2,771
15,2,771
v,2,771
duke,7,771
of,14,771
norfolk,14,771
's,14,771
xi,8,771
(,2,771
at,2,771
arundel,6,771
),2,771
may,2,771
17,2,771
v,2,771
northampton,1,771
may,2,771
18,2,771
v,2,771
worcestershire,1,771
may,2,771
20,2,771
v,2,771
durham,1,771
may,2,771
22,2,771
first,2,771
one-day,2,771
international,2,771
(,2,771
at,2,771
headingley,6,771
",",2,771
leeds,1,771
),2,771
may,2,771
24,2,771
second,2,771
one-day,2,771
international,2,771
(,2,771
at,2,771
the,15,771
oval,16,771
",",2,771
london,6,771
),2,771
may,2,771
25,2,771
third,2,771
one-day,2,771
international,2,771
(,2,771
at,2,771
lord,15,771
's,16,771
",",2,771
london,6,771
),2,771
may,2,771
27-29,2,771
v,2,771
gloucestershire,1,771
or,2,771
sussex,1,771
or,2,771
surrey,1,771
(,2,771
three,2,771
days,2,771
),2,771
may,2,771
31,2,771
-,2,771
june,2,771
2,2,771
v,2,771
derbyshire,1,771
(,2,771
three,2,771
days,2,771
),2,771
june,2,771
june,2,771
5-9,2,771
first,2,771
test,2,771
match,2,771
(,2,771
at,2,771
edgbaston,6,771
",",2,771
birmingham,6,771
),2,771
june,2,771
11-13,2,771
v,2,771
a,2,771
first,2,771
class,2,771
county,2,771
(,2,771
to,2,771
be,2,771
confirmed,2,771
),2,771
june,2,771
14-16,2,771
v,2,771
leicestershire,1,771
(,2,771
three,2,771
days,2,771
),2,771
june,2,771
19-23,2,771
second,2,771
test,2,771
(,2,771
at,2,771
lord,15,771
's,16,771
),2,771
june,2,771
25-27,2,771
v,2,771
british,7,771
universities,8,771
(,2,771
at,2,771
oxford,6,771
",",2,771
three,2,771
days,2,771
),2,771
june,2,771
28-30,2,771
v,2,771
hampshire,1,771
(,2,771
three,2,771
days,2,771
),2,771
july,2,771
july,2,771
3-7,2,771
third,2,771
test,2,771
(,2,771
at,2,771
old,15,771
trafford,16,771
",",2,771
manchester,6,771
),2,771
july,2,771
9,2,771
v,2,771
minor,7,771
counties,14,771
xi,8,771
july,2,771
12,2,771
v,2,771
scotland,6,771
july,2,771
16-18,2,771
v,2,771
glamorgan,1,771
(,2,771
three,2,771
days,2,771
),2,771
july,2,771
19-21,2,771
v,2,771
middlesex,1,771
(,2,771
three,2,771
days,2,771
),2,771
july,2,771
24-28,2,771
fourth,2,771
test,2,771
(,2,771
at,2,771
headingley,6,771
),2,771
august,2,771
august,2,771
1-4,2,771
v,2,771
somerset,1,771
(,2,771
four,2,771
days,2,771
),2,771
august,2,771
7-11,2,771
fifth,2,771
test,2,771
(,2,771
at,2,771
trent,15,771
bridge,16,771
",",2,771
nottingham,6,771
),2,771
august,2,771
16-18,2,771
v,2,771
kent,1,771
(,2,771
three,2,771
days,2,771
),2,771
august,2,771
21-25,2,771
sixth,2,771
test,2,771
(,2,771
at,2,771
the,15,771
oval,16,771
",",2,771
london,6,771
),2,771
.,2,771
-docstart-,2,1015
soccer,2,1015
-,2,1015
shearer,10,1015
named,2,1015
as,2,1015
england,6,1015
captain,2,1015
.,2,1015
london,6,1024
1996-08-30,2,1024
the,2,1024
world,2,1024
's,2,1024
costliest,2,1024
footballer,2,1024
alan,4,1024
shearer,5,1024
was,2,1024
named,2,1024
as,2,1024
the,2,1024
new,2,1024
england,6,1024
captain,2,1024
on,2,1024
friday,2,1024
.,2,1024
the,2,1043
26-year-old,2,1043
",",2,1043
who,2,1043
joined,2,1043
newcastle,1,1043
for,2,1043
15,2,1043
million,2,1043
pounds,2,1043
sterling,2,1043
(,2,1043
$,2,1043
23.4,2,1043
million,2,1043
),2,1043
",",2,1043
takes,2,1043
over,2,1043
from,2,1043
tony,4,1043
adams,5,1043
",",2,1043
who,2,1043
led,2,1043
the,2,1043
side,2,1043
during,2,1043
the,2,1043
european,3,1043
championship,2,1043
in,2,1043
june,2,1043
",",2,1043
and,2,1043
former,2,1043
captain,2,1043
david,4,1043
platt,5,1043
.,2,1043
adams,10,1083
and,2,1083
platt,10,1083
are,2,1083
both,2,1083
injured,2,1083
and,2,1083
will,2,1083
miss,2,1083
england,6,1083
's,2,1083
opening,2,1083
world,11,1083
cup,13,1083
qualifier,2,1083
against,2,1083
moldova,6,1083
on,2,1083
sunday,2,1083
.,2,1083
shearer,10,1103
takes,2,1103
the,2,1103
captaincy,2,1103
on,2,1103
a,2,1103
trial,2,1103
basis,2,1103
",",2,1103
but,2,1103
new,2,1103
coach,2,1103
glenn,4,1103
hoddle,5,1103
said,2,1103
he,2,1103
saw,2,1103
no,2,1103
reason,2,1103
why,2,1103
the,2,1103
former,2,1103
blackburn,1,1103
and,2,1103
southampton,1,1103
skipper,2,1103
should,2,1103
not,2,1103
make,2,1103
the,2,1103
post,2,1103
his,2,1103
own,2,1103
.,2,1103
"""",2,1137
i,2,1137
'm,2,1137
sure,2,1137
there,2,1137
wo,2,1137
n't,2,1137
be,2,1137
a,2,1137
problem,2,1137
",",2,1137
i,2,1137
'm,2,1137
sure,2,1137
alan,10,1137
is,2,1137
the,2,1137
man,2,1137
for,2,1137
the,2,1137
job,2,1137
",",2,1137
"""",2,1137
hoddle,10,1137
said,2,1137
.,2,1137
"""",2,1163
there,2,1163
were,2,1163
three,2,1163
or,2,1163
four,2,1163
people,2,1163
who,2,1163
could,2,1163
have,2,1163
done,2,1163
it,2,1163
but,2,1163
when,2,1163
i,2,1163
spoke,2,1163
to,2,1163
alan,10,1163
he,2,1163
was,2,1163
up,2,1163
for,2,1163
it,2,1163
and,2,1163
really,2,1163
wanted,2,1163
it,2,1163
.,2,1163
"""",2,1191
in,2,1191
four,2,1191
days,2,1191
it,2,1191
's,2,1191
very,2,1191
difficult,2,1191
to,2,1191
come,2,1191
to,2,1191
a,2,1191
100,2,1191
percent,2,1191
conclusion,2,1191
about,2,1191
something,2,1191
like,2,1191
this,2,1191
...,2,1191
but,2,1191
he,2,1191
knows,2,1191
how,2,1191
to,2,1191
conduct,2,1191
himself,2,1191
",",2,1191
his,2,1191
team,2,1191
mates,2,1191
respect,2,1191
him,2,1191
and,2,1191
he,2,1191
knows,2,1191
about,2,1191
the,2,1191
team,2,1191
situation,2,1191
even,2,1191
though,2,1191
he,2,1191
plays,2,1191
up,2,1191
front,2,1191
.,2,1191
"""",2,1238
shearer,10,1238
's,2,1238
euro,11,1238
96,13,1238
striking,2,1238
partner,2,1238
teddy,4,1238
sheringham,5,1238
withdrew,2,1238
from,2,1238
the,2,1238
squad,2,1238
with,2,1238
an,2,1238
injury,2,1238
on,2,1238
friday,2,1238
.,2,1238
he,2,1257
will,2,1257
probably,2,1257
be,2,1257
replaced,2,1257
by,2,1257
shearer,10,1257
's,2,1257
newcastle,1,1257
team,2,1257
mate,2,1257
les,4,1257
ferdinand,5,1257
.,2,1257
-docstart-,2,1271
basketball,2,1271
-,2,1271
international,2,1271
tournament,2,1271
result,2,1271
.,2,1271
belgrade,6,1278
1996-08-30,2,1278
result,2,1278
in,2,1278
an,2,1278
international,2,1278
basketball,2,1278
tournament,2,1278
on,2,1278
friday,2,1278
:,2,1278
red,7,1278
star,8,1278
(,2,1278
yugoslavia,6,1278
),2,1278
beat,2,1278
dinamo,1,1278
(,2,1278
russia,6,1278
),2,1278
92-90,2,1278
(,2,1278
halftime,2,1278
47-47,2,1278
),2,1278
-docstart-,2,1278
soccer,2,1278
-,2,1278
romania,6,1278
beat,2,1278
lithuania,6,1278
in,2,1278
under-21,2,1278
match,2,1278
.,2,1278
bucharest,6,1314
1996-08-30,2,1314
romania,6,1314
beat,2,1314
lithuania,6,1314
2-1,2,1314
(,2,1314
halftime,2,1314
1-1,2,1314
),2,1314
in,2,1314
their,2,1314
european,3,1314
under-21,2,1314
soccer,2,1314
match,2,1314
on,2,1314
friday,2,1314
.,2,1314
scorers,2,1333
:,2,1333
romania,6,1333
-,2,1333
cosmin,4,1333
contra,5,1333
(,2,1333
31st,2,1333
),2,1333
",",2,1333
mihai,4,1333
tararache,5,1333
(,2,1333
75th,2,1333
),2,1333
lithuania,6,1333
-,2,1333
danius,4,1333
gleveckas,5,1333
(,2,1333
13rd,2,1333
),2,1333
attendance,2,1333
:,2,1333
200,2,1333
-docstart-,2,1333
soccer,2,1333
-,2,1333
rotor,1,1333
fans,2,1333
locked,2,1333
out,2,1333
after,2,1333
volgograd,6,1333
violence,2,1333
.,2,1333
moscow,6,1369
1996-08-30,2,1369
rotor,7,1369
volgograd,8,1369
must,2,1369
play,2,1369
their,2,1369
next,2,1369
home,2,1369
game,2,1369
behind,2,1369
closed,2,1369
doors,2,1369
after,2,1369
fans,2,1369
hurled,2,1369
bottles,2,1369
and,2,1369
stones,2,1369
at,2,1369
dynamo,7,1369
moscow,8,1369
players,2,1369
during,2,1369
a,2,1369
1-0,2,1369
home,2,1369
defeat,2,1369
on,2,1369
saturday,2,1369
that,2,1369
ended,2,1369
rotor,1,1369
's,2,1369
brief,2,1369
spell,2,1369
as,2,1369
league,2,1369
leaders,2,1369
.,2,1369
the,2,1409
head,2,1409
of,2,1409
the,2,1409
russian,3,1409
league,2,1409
's,2,1409
disciplinary,2,1409
committee,2,1409
",",2,1409
anatoly,4,1409
gorokhovsky,5,1409
",",2,1409
said,2,1409
on,2,1409
friday,2,1409
that,2,1409
rotor,1,1409
would,2,1409
play,2,1409
lada,7,1409
togliatti,8,1409
to,2,1409
empty,2,1409
stands,2,1409
on,2,1409
september,2,1409
3,2,1409
.,2,1409
the,2,1438
club,2,1438
",",2,1438
who,2,1438
put,2,1438
manchester,7,1438
united,8,1438
out,2,1438
of,2,1438
last,2,1438
year,2,1438
's,2,1438
uefa,11,1438
cup,13,1438
",",2,1438
were,2,1438
fined,2,1438
$,2,1438
"1,000",2,1438
.,2,1438
despite,2,1458
the,2,1458
defeat,2,1458
",",2,1458
rotor,1,1458
are,2,1458
well,2,1458
placed,2,1458
with,2,1458
11,2,1458
games,2,1458
to,2,1458
play,2,1458
in,2,1458
the,2,1458
championship,2,1458
.,2,1458
lying,2,1475
three,2,1475
points,2,1475
behind,2,1475
alania,1,1475
and,2,1475
two,2,1475
behind,2,1475
dynamo,7,1475
moscow,8,1475
",",2,1475
the,2,1475
volgograd,6,1475
side,2,1475
have,2,1475
a,2,1475
game,2,1475
in,2,1475
hand,2,1475
over,2,1475
the,2,1475
leaders,2,1475
and,2,1475
two,2,1475
over,2,1475
the,2,1475
moscow,6,1475
club,2,1475
.,2,1475
-docstart-,2,1504
boxing,2,1504
-,2,1504
panama,6,1504
's,2,1504
roberto,4,1504
duran,5,1504
fights,2,1504
the,2,1504
sands,2,1504
of,2,1504
time,2,1504
.,2,1504
panama,15,1517
city,16,1517
1996-08-30,2,1517
panamanian,3,1517
boxing,2,1517
legend,2,1517
roberto,4,1517
"""",9,1517
hands,9,1517
of,9,1517
stone,9,1517
"""",9,1517
duran,5,1517
climbs,2,1517
into,2,1517
the,2,1517
ring,2,1517
on,2,1517
saturday,2,1517
in,2,1517
another,2,1517
age-defying,2,1517
attempt,2,1517
to,2,1517
sustain,2,1517
his,2,1517
long,2,1517
career,2,1517
.,2,1517
duran,10,1546
",",2,1546
45,2,1546
",",2,1546
takes,2,1546
on,2,1546
little-known,2,1546
mexican,3,1546
ariel,4,1546
cruz,5,1546
",",2,1546
30,2,1546
",",2,1546
in,2,1546
a,2,1546
super,2,1546
middleweight,2,1546
non-title,2,1546
bout,2,1546
in,2,1546
panama,15,1546
city,16,1546
.,2,1546
the,2,1569
fight,2,1569
",",2,1569
duran,10,1569
's,2,1569
first,2,1569
on,2,1569
home,2,1569
soil,2,1569
for,2,1569
10,2,1569
years,2,1569
",",2,1569
is,2,1569
being,2,1569
billed,2,1569
here,2,1569
as,2,1569
the,2,1569
"""",2,1569
return,11,1569
of,12,1569
the,12,1569
legend,13,1569
"""",2,1569
and,2,1569
duran,10,1569
still,2,1569
talks,2,1569
as,2,1569
if,2,1569
he,2,1569
was,2,1569
in,2,1569
his,2,1569
prime,2,1569
.,2,1569
"""",2,1606
i,2,1606
want,2,1606
a,2,1606
fifth,2,1606
title,2,1606
.,2,1606
this,2,1613
match,2,1613
is,2,1613
to,2,1613
prepare,2,1613
me,2,1613
.,2,1613
i,2,1620
feel,2,1620
good,2,1620
.,2,1620
i,2,1624
'm,2,1624
not,2,1624
retiring,2,1624
",",2,1624
"""",2,1624
duran,10,1624
told,2,1624
reuters,1,1624
.,2,1624
but,2,1634
those,2,1634
close,2,1634
to,2,1634
the,2,1634
boxer,2,1634
acknowledge,2,1634
that,2,1634
the,2,1634
man,2,1634
who,2,1634
has,2,1634
won,2,1634
championships,2,1634
in,2,1634
four,2,1634
different,2,1634
weight,2,1634
classes,2,1634
--,2,1634
lightweight,2,1634
",",2,1634
welterweight,2,1634
",",2,1634
junior,2,1634
middleweight,2,1634
and,2,1634
middleweight,2,1634
--,2,1634
is,2,1634
drawing,2,1634
close,2,1634
to,2,1634
the,2,1634
end,2,1634
of,2,1634
his,2,1634
career,2,1634
.,2,1634
"""",2,1673
each,2,1673
time,2,1673
he,2,1673
fights,2,1673
",",2,1673
he,2,1673
's,2,1673
on,2,1673
the,2,1673
last,2,1673
frontier,2,1673
of,2,1673
his,2,1673
career,2,1673
.,2,1673
if,2,1689
he,2,1689
loses,2,1689
saturday,2,1689
",",2,1689
it,2,1689
could,2,1689
devalue,2,1689
his,2,1689
position,2,1689
as,2,1689
one,2,1689
of,2,1689
the,2,1689
world,2,1689
's,2,1689
great,2,1689
boxers,2,1689
",",2,1689
"""",2,1689
panamanian,3,1689
boxing,7,1689
association,8,1689
president,2,1689
ramon,4,1689
manzanares,5,1689
said,2,1689
.,2,1689
duran,10,1717
",",2,1717
whose,2,1717
97-12,2,1717
record,2,1717
spans,2,1717
three,2,1717
decades,2,1717
",",2,1717
hopes,2,1717
a,2,1717
win,2,1717
in,2,1717
the,2,1717
10-round,2,1717
bout,2,1717
will,2,1717
earn,2,1717
him,2,1717
a,2,1717
rematch,2,1717
against,2,1717
puerto,15,1717
rico,16,1717
's,2,1717
hector,4,1717
"""",9,1717
macho,9,1717
"""",9,1717
camacho,5,1717
.,2,1717
camacho,10,1748
took,2,1748
a,2,1748
controversial,2,1748
points,2,1748
decision,2,1748
against,2,1748
the,2,1748
panamanian,3,1748
in,2,1748
atlantic,15,1748
city,16,1748
in,2,1748
june,2,1748
in,2,1748
a,2,1748
title,2,1748
fight,2,1748
.,2,1748
-docstart-,2,1767
squash,2,1767
-,2,1767
hong,11,1767
kong,12,1767
open,13,1767
quarter-final,2,1767
results,2,1767
.,2,1767
hong,15,1776
kong,16,1776
1996-08-30,2,1776
quarter-final,2,1776
results,2,1776
in,2,1776
the,2,1776
hong,11,1776
kong,12,1776
open,13,1776
on,2,1776
friday,2,1776
(,2,1776
prefix,2,1776
number,2,1776
denotes,2,1776
seeding,2,1776
),2,1776
:,2,1776
1,2,1776
-,2,1776
jansher,4,1776
khan,5,1776
(,2,1776
pakistan,6,1776
),2,1776
beat,2,1776
mark,4,1776
cairns,5,1776
(,2,1776
england,6,1776
),2,1776
15-10,2,1776
15-6,2,1776
15-7,2,1776
anthony,4,1776
hill,5,1776
(,2,1776
australia,6,1776
),2,1776
beat,2,1776
dan,4,1776
jenson,5,1776
(,2,1776
australia,6,1776
),2,1776
15-9,2,1776
15-8,2,1776
15-17,2,1776
17-15,2,1776
4,2,1776
-,2,1776
peter,4,1776
nicol,5,1776
(,2,1776
scotland,6,1776
),2,1776
beat,2,1776
7,2,1776
-,2,1776
chris,4,1776
walker,5,1776
(,2,1776
england,6,1776
),2,1776
15-8,2,1776
15-13,2,1776
13-15,2,1776
15-9,2,1776
2,2,1776
-,2,1776
rodney,4,1776
eyles,5,1776
(,2,1776
australia,6,1776
),2,1776
beat,2,1776
derek,4,1776
ryan,5,1776
(,2,1776
ireland,6,1776
),2,1776
15-6,2,1776
15-9,2,1776
11-15,2,1776
15-10,2,1776
.,2,1776
-docstart-,2,1863
soccer,2,1863
-,2,1863
results,2,1863
of,2,1863
south,11,1863
korean,13,1863
pro-soccer,2,1863
games,2,1863
.,2,1863
seoul,6,1873
1996-08-30,2,1873
results,2,1873
of,2,1873
south,11,1873
korean,13,1873
pro-soccer,2,1873
games,2,1873
played,2,1873
on,2,1873
thursday,2,1873
.,2,1873
pohang,1,1885
3,2,1885
ulsan,1,1885
2,2,1885
(,2,1885
halftime,2,1885
1-0,2,1885
),2,1885
puchon,1,1885
2,2,1885
chonbuk,1,1885
1,2,1885
(,2,1885
halftime,2,1885
1-1,2,1885
),2,1885
standings,2,1885
after,2,1885
games,2,1885
played,2,1885
on,2,1885
thursday,2,1885
(,2,1885
tabulate,2,1885
under,2,1885
-,2,1885
won,2,1885
",",2,1885
drawn,2,1885
",",2,1885
lost,2,1885
",",2,1885
goals,2,1885
for,2,1885
",",2,1885
goals,2,1885
against,2,1885
",",2,1885
points,2,1885
),2,1885
:,2,1885
w,2,1885
d,2,1885
l,2,1885
g,2,1885
/,2,1885
f,2,1885
g,2,1885
/,2,1885
a,2,1885
p,2,1885
puchon,1,1885
3,2,1885
1,2,1885
0,2,1885
6,2,1885
1,2,1885
10,2,1885
chonan,1,1885
3,2,1885
0,2,1885
1,2,1885
13,2,1885
10,2,1885
9,2,1885
pohang,1,1885
2,2,1885
1,2,1885
1,2,1885
11,2,1885
